"Отметка времени","Когда Вы родились?","Вася купил все апельсины, но два осталось.","Эта гора совершенно высокая.","Послезавтра он объявит, что завтра заснёт в канаве.","Эта скатерть немного грязная.","Комната Вадика совершенно тёмная.","Мы ели, пока она играла на бубне.","Интернет в общежитии немного быстрый.","Вода в ванне немного холодная.","Наш лев совершенно трусливый.","Фея дала каждому ребёнку по конфете, но не всем.","Наташа ждала, пока Таня не будет работать.","Машины гантели совершенно лёгкие.","Новый учитель информатики немного злой.","Моя соседка по парте немного умная.","Болгарин, который продавал чай на углу, был немного скупой.","Лицо на той картине совершенно красивое.","Все студенты в пятой группе совершенно трудолюбивые.","Бабка сказала, что Таня тогда беременна.","Мы ждали, пока Антон не приехал.","Начальник скажет, что Лера тогда будет работать на выезде.","Комната Вадика совершенно светлая.","Интернет в общежитии немного медленный.","Наш лев немного трусливый.","Наташа ждала, пока Таня работала.","Эта гора совершенно низкая.","Машины гантели совершенно тяжёлые.","Эта скатерть немного чистая.","Вода в ванне немного горячая.","Начальник скажет, что Лера тогда будет работать на выезде.","Новый учитель информатики совершенно злой.","Болгарин, который продавал чай на углу, был совершенно скупой.","Все студенты в пятой группе немного трудолюбивые.","Моя соседка по парте совершенно умная.","Вася купил несколько апельсинов, но два осталось.","Фея дала каждому ребёнку по конфете, но Васе не досталось.","Лицо на той картине совершенно уродливое.","Мы ели, пока она играет на бубне.","Бабка сказала, что Таня тогда была беременна.","Мы ждали, пока Антон не приедет.","Послезавтра он объявит, что завтра заснул в канаве.","Наш лев совершенно храбрый.","Интернет в общежитии совершенно медленный.","Начальник скажет, что Лера тогда работает на выезде.","Все студенты в пятой группе совершенно ленивые.","Наташа ждала, пока Таня работала.","Вася купил несколько апельсинов, но два осталось.","Эта скатерть совершенно грязная.","Болгарин, который продавал чай на углу, был немного щедрый.","Машины гантели немного лёгкие.","Послезавтра он объявит, что вчера заснёт в канаве.","Фея дала каждому ребёнку по конфете, но каждому не хватило.","Комната Вадика немного светлая.","Мы ели, пока она не играет на бубне.","Лицо на той картине немного красивое.","Вода в ванне совершенно холодная.","Эта гора немного высокая.","Новый учитель информатики немного добрый.","Бабка говорит, что Таня сейчас беременна.","Моя соседка по парте немного глупая.","Мы ждали, пока Антон приехал.","Машины гантели немного тяжёлые.","Мы ели, пока она не играла на бубне.","Моя соседка по парте совершенно глупая.","Новый учитель информатики совершенно злой.","Мы ждали, пока Антон приедет.","Болгарин, который продавал чаи на углу, был совершенно щедрый.","Эта гора немного низкая.","Начальник скажет, что Лера тогда работала на выезде.","Послезавтра он объявит, что вчера заснул в канаве.","Лицо на той картине немного уродливое.","Вода в ванне совершенно горячая.","Фея дала каждому ребёнку по конфете, но всем не хватило.","Интернет в общежитии совершенно быстрый.","Комната Вадика немного тёмная.","Все студенты в пятой группе немного ленивые.","Вася купил все апельсины, но два осталось.","Эта скатерть совершенно чистая.","Наташа ждала, пока Таня будет работать.","Наш лев немного храбрый.","Бабка говорит, что Таня сейчас была беременна."
"2025/02/25 4:05:03 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","1","1","5","5","4","4","1","2","5","5","5","1","5","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 4:07:36 PM GMT+3","Зимой","1","1","4","5","5","5","1","5","3","1","4","5","5","2","5","1","1","3","5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 4:20:10 PM GMT+3","Зимой","2","5","1","5","5","5","3","5","5","1","4","5","5","1","4","5","4","4","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 4:29:11 PM GMT+3","Зимой","4","2","1","5","3","4","3","5","5","5","5","1","5","1","5","3","2","2","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 4:38:00 PM GMT+3","Зимой","4","1","2","5","5","5","2","5","3","1","4","3","5","2","2","1","1","1","5","4","4","5","2","5","2","1","1","5","3","5","4","1","2","5","5","5","2","5","5","1","2","5","1","5","5","5","5","2","4","1","1","4","1","2","5","4","4","5","5","1","5","4","5","5","5","4","4","4","1","4","2","2","1","5","5","3","5","1","1","1"
"2025/02/25 4:39:28 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","3","4","4","4","2","2","3","3","4","3","3","3","1","3","5","4","2","5","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 5:04:22 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","3","5","5","2","5","5","1","3","1","3","1","1","1","3","5","5","1","5","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 5:21:34 PM GMT+3","Зимой","1","1","1","5","1","2","1","2","1","1","2","1","5","1","3","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 6:12:20 PM GMT+3","Летом","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","5","5","5","5","5","3","5","1","2","5","2","2","5","4","2","5","5","1","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 6:15:24 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","2","3","4","5","2","1","1","5","3","2","3","2","3","2","5","4","4","5","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 6:48:27 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","2","5","5","2","2","1","1","4","2","2","5","1","1","3","3","4","5","5","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 6:48:31 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","4","5","5","4","3","3","4","5","5","4","4","3","2","2","4","5","4","5","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 6:49:05 PM GMT+3","Зимой","3","2","4","5","5","5","1","4","5","1","2","5","5","2","5","1","1","2","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 6:49:20 PM GMT+3","Зимой","1","2","1","5","4","5","1","5","2","2","4","2","5","1","2","1","1","1","5","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 6:49:46 PM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","1","1","4","1","1","1","1","3","1","2","1","3","2","1","1","1","1","1"
"2025/02/25 6:51:06 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","4","5","2","5","1","1","1","4","4","1","1","5","1","1","1","5","2","5","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 6:51:26 PM GMT+3","Летом","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","1","2","1","4","1","1","1","1","1","1","1","3","1","1","3","3","1","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 6:51:54 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","1","2","2","5","1","1","1","3","1","2","2","4","3","1","5","2","1","5","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 6:52:01 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","4","5","5","4","3","2","1","5","3","2","5","5","3","5","5","5","5","5","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 6:52:16 PM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","4","5","3","5","3","4","5","3","5","1","5","2","5","5","2","5","4","2","1"
"2025/02/25 6:53:28 PM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5","5","3","1","4","1","5","5","5","5","1","3","5","5","1","5","1","3","3"
"2025/02/25 6:54:51 PM GMT+3","Зимой","1","2","2","5","5","5","3","5","3","2","4","4","5","3","2","3","2","4","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 6:54:57 PM GMT+3","Летом","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","1","3","5","5","3","1","1","1","4","1","1","3","3","4","5","5","5","1","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 6:55:06 PM GMT+3","Зимой","1","1","2","4","4","5","1","5","2","1","3","1","4","2","2","1","1","1","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 6:55:34 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","3","5","5","2","2","1","2","5","3","1","1","2","1","4","5","5","2","5","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 6:56:01 PM GMT+3","Летом","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","3","5","4","5","4","2","2","1","3","4","2","1","1","4","2","5","5","5","5","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 6:57:33 PM GMT+3","Зимой","2","1","1","4","2","2","1","5","3","1","2","1","3","1","2","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 7:04:11 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","1","1","4","3","1","1","3","3","4","1","4","1","1","4","4","3","3","4","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 7:04:17 PM GMT+3","Летом","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","5","1","3","1","1","4","1","1","1","5","5","3","2","4","3","4","5","2","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 7:06:00 PM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1","4","2","5","1","4","5","5","4","2","5","1","2","5","2","5","4","1","1"
"2025/02/25 7:06:07 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","3","5","5","5","2","1","2","5","3","4","5","1","2","4","5","4","5","5","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 7:06:32 PM GMT+3","Зимой","3","1","1","5","4","5","1","5","2","1","4","1","5","1","1","4","1","1","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 7:06:44 PM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","3","1","5","1","3","5","5","5","5","5","1","5","5","3","5","3","1","1"
"2025/02/25 7:11:21 PM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","5","4","5","4","3","5","4","3","2","2","2","4","5","1","5","2","3","1"
"2025/02/25 7:13:55 PM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","2","5","4","5","3","5","5","2","5","5","5","2","5","5","1","5","4","3","1"
"2025/02/25 7:15:03 PM GMT+3","Летом","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","4","2","5","1","4","1","1","1","1","1","3","1","5","1","1","5","5","2","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 7:17:28 PM GMT+3","Зимой","1","1","5","5","5","5","1","5","5","1","4","5","5","3","5","5","5","1","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 7:17:34 PM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","5","5","1","5","1","5","5","5","5","1","1","1","5","5","1","5","5","1","1"
"2025/02/25 7:20:17 PM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","5","3","5","4","5","5","5","5","3","5","2","5","5","3","5","4","2","1"
"2025/02/25 7:22:15 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","3","1","5","2","2","1","1","5","2","2","3","1","1","5","2","5","1","5","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 7:24:14 PM GMT+3","Зимой","1","1","3","5","3","5","1","3","1","3","4","1","3","1","2","2","1","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 7:29:51 PM GMT+3","Зимой","2","2","4","5","5","5","3","5","4","2","4","5","5","5","4","4","2","2","5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 7:50:35 PM GMT+3","Летом","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","2","5","3","1","5","2","2","1","1","2","1","4","5","2","1","5","5","1","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 7:55:25 PM GMT+3","Зимой","2","1","1","4","5","4","1","4","5","1","1","5","3","1","4","2","1","1","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 8:05:05 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","5","5","5","5","3","1","2","4","5","4","5","2","1","5","5","5","5","5","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 8:38:54 PM GMT+3","Летом","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","5","5","5","5","1","2","1","1","1","1","1","3","1","1","5","5","1","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 8:47:29 PM GMT+3","Зимой","4","2","1","5","5","5","3","5","5","2","4","2","5","4","4","4","2","1","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 10:00:37 PM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","2","5","5","5","2","4","5","5","5","4","2","1","5","5","2","5","5","3","3"
"2025/02/25 10:55:45 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","5","5","4","4","2","1","1","4","4","4","4","1","1","4","2","5","1","5","5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 11:03:58 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","2","5","4","2","2","1","1","5","4","4","2","4","4","4","5","5","1","5","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 11:05:55 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","4","5","5","3","1","1","2","4","2","3","3","3","1","2","3","4","2","4","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 11:11:24 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","2","5","5","5","1","1","1","4","1","1","1","3","1","5","5","5","5","5","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 11:26:28 PM GMT+3","Летом","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","3","4","2","2","4","1","4","1","2","1","1","1","5","1","2","4","5","1","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 11:32:48 PM GMT+3","Зимой","3","2","3","1","5","4","3","1","3","4","5","1","5","1","3","3","2","5","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/25 11:45:47 PM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","4","2","5","3","2","1","1","3","3","4","2","5","5","1","5","4","4","1"
"2025/02/26 1:12:19 AM GMT+3","Зимой","5","2","4","5","5","5","2","5","4","4","4","5","5","1","5","1","3","3","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/26 1:18:49 AM GMT+3","Летом","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","3","5","2","4","3","3","1","1","1","1","2","5","3","1","4","5","2","","","","","","","","","","","","","","","","","","","",""
"2025/02/26 2:24:26 AM GMT+3","Зимой","1","2","1","5","4","5","2","4","4","2","3","1","4","3","3","2","2","2","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/26 2:24:51 AM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","5","3","5","5","4","5","5","5","3","5","2","4","5","1","5","5","3","2"
"2025/02/26 4:42:52 AM GMT+3","Летом","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","5","5","5","1","5","5","5","2","5","1","1","5","5","1","","","","","","","","","","","","","","","","","","","",""
"2025/02/26 6:52:52 AM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","2","3","5","5","1","1","1","5","2","2","5","3","1","2","5","5","5","5","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/26 10:12:12 AM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","5","5","4","3","3","5","2","5","4","5","3","5","5","1","5","2","2","1"
"2025/02/26 10:55:42 AM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","3","5","5","4","4","4","1","5","4","4","5","2","2","5","5","5","1","5","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/26 11:34:24 AM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","2","4","2","5","5","3","5","2","3","2","5","5","1","3","2","1","1"
"2025/02/26 12:36:42 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","5","5","5","4","2","2","1","5","2","3","5","1","1","3","5","5","2","5","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/26 1:03:17 PM GMT+3","Зимой","4","2","3","5","5","4","3","5","4","2","4","2","5","2","5","3","2","3","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/26 6:36:34 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","3","5","4","4","2","2","1","5","1","4","4","2","2","1","5","5","5","5","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/26 6:51:04 PM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","4","1","5","1","1","3","1","1","1","1","1","4","3","1","5","1","1","1"
"2025/02/26 7:13:55 PM GMT+3","Зимой","1","3","2","5","5","5","3","5","3","1","4","4","5","4","5","3","3","2","5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/26 7:50:16 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","3","4","2","1","1","1","1","3","3","2","1","1","1","2","5","5","1","4","5","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/26 7:53:17 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","5","5","5","5","2","2","2","4","5","2","4","4","2","5","5","2","4","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/26 9:23:14 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","3","5","5","5","2","1","3","4","5","3","3","3","3","2","5","3","1","5","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/26 10:10:00 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","3","5","5","5","2","2","2","2","2","2","2","2","2","1","4","4","2","5","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/02/26 10:17:24 PM GMT+3","Летом","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","4","5","5","2","5","3","4","2","3","3","4","1","4","1","2","5","5","2","","","","","","","","","","","","","","","","","","","",""
